title,desc,push_time,content,url
纳税人销售抗癌药物是否可以简易计税？,问：纳税人销售抗癌药物是否可以简易计税？,2018-06-04,答：根据《财政部 海关总署 税务总局 国家药品监督管理局关于抗癌药品增值税政策的通知》(财税〔2018〕47号)文件第一条规定，自2018年5月1日起，增值税一般纳税人生产销售和批发、零售抗癌药品，可选择按照简易办法依照3%征收率计算缴纳增值税。上述纳税人选择简易办法计算缴纳增值税后，36个月内不得变更。第三条规定，纳税人应单独核算抗癌药品的销售额。未单独核算的，不得适用本通知第一条规定的简易征收政策。第四条规定，本通知所称抗癌药品，是指经国家药品监督管理部门批准注册的抗癌制剂及原料药。抗癌药品清单(第一批)见附件。抗癌药品范围实行动态调整，由财政部、海关总署、税务总局、国家药品监督管理局根据变化情况适时明确。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201806/t20180604_440366.htm
新购进的固定资产如何理解？,问：财税〔2018〕54号规定： 企业在2018年1月1日至2020年12月31日期间新购进的设备、器具，单位价值不超过500万元的，允许一次性计入当期成本费用在计算应纳税所得额时扣除，新购进的固定资产如何理解？,2018-06-04,答：国家税务总局2014年64号公告后，总局的答记者问已经明确了这个问题。这里的“新购进”中的“新”字，只是区别于原已购进的固定资产，不是规定非要全新的固定资产，即包括企业2014年以后购进的已使用过的固定资产。固定资产的取得包括外购、自行建造、投资者投入、融资租入等多种方式。公告明确“购进”是指：以货币购进的固定资产和自行建造的固定资产。考虑到自行建造的固定资产所使用的材料也是购入的，因此把自行建造的固定资产也看作是“购进”的。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201806/t20180604_440365.htm
关于设立在中国境外合伙企业适用协定的问题?,问：关于设立在中国境外合伙企业适用协定的问题。如果合伙企业不是对方国家税收居民，但合伙人是该国居民，是否可以在我国享受协定待遇？（,2018-06-04,答：对于设立在境外的合伙企业，除非协定另有规定，否则，只有在合伙企业本身是缔约对方居民的情况下，才可以在我国享受协定待遇。如果合伙企业不是对方居民，即使合伙人是缔约对方居民，也不能享受协定待遇。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201806/t20180604_440364.htm
是否构成常设机构的标准判定？,问：税务总局发布的2018年第11号公告规定，关于劳务活动是否构成常设机构的表述为六个月的按183天执行，11号公告4月1日起施行。但如果是4月1日以前比如2月1日来华提供劳务，相应的时间要如何计算？是按6个月标准判定还是按照183天标准判定？,2018-06-04,答：11号公告规定，“常设机构条款中关于劳务活动构成常设机构的表述为‘在任何十二个月中连续或累计超过六个月’的，按照‘在任何十二个月中连续或累计超过183天’的表述执行”。该规定是对税收协定执行口径的进一步统一和明确，因此如果2月1日来华，也适用上述规定，即按照183天标准判定。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201806/t20180604_440361.htm
转登记纳税人何时按小规模纳税人申报纳税？,问：按季纳税的一般纳税人在季度中期申请转登记为小规模纳税人，具体应该什么时候开始按照小规模纳税人申报纳税？,2018-06-04,答：一般纳税人转登记为小规模纳税人后，自转登记日的下期起，按照简易计税方法计算缴纳增值税。这里的“下期”是税款所属期的概念。对于按季纳税的情况，下面举个例子来说明一下，比如纳税人在5月份申请转登记为小规模纳税人，由于是按季纳税，因此，这个纳税人在二季度，也就是4-6月份，仍应按照一般纳税人的身份计税，并在7月申报期最后一次以一般纳税人的身份进行纳税申报。自7月1日开始，其身份转为小规模纳税人，并开始按照简易计税方法计算缴纳增值税。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201806/t20180604_440359.htm
税率调整是否影响建筑服务是简易计税项目的发票补开？,问：我们关注到，总局发布的18号公告第九条规定了，在增值税税率调整前未开具增值税发票需要补开增值税发票的，应当按照原适用税率补开。请问，我们有一些建筑服务是简易计税项目，在税率调整后如果补开发票，也是要按照11%的税率补开吗？,2018-06-04,答：18号公告第九条里面关于补开发票的规定，主要是针对受税率调整影响的事项，未受税率调整的该怎么补开还怎么补开。具体到你刚才说的这个情况，在税率调整前，已经按照11%税率计税的建筑服务，如果在税率调整后需要补开发票，应该按照11%的税率补开发票，如果是简易计税的建筑服务，并未受此次税率调整的影响，如果需要补开发票，无论何时，还是按照简易计税项目的征收率进行补开。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201806/t20180604_440358.htm
我公司能否转登记成小规模纳税人？,问：我们是一家商贸企业，之前并没有达到一年80万元的销售额标准，但为了方便开票，我们自愿选择登记成了一般纳税人。请问像我们公司这种情况，这次能否转登记成小规模纳税人？,2018-06-04,答：此前自愿选择登记为一般纳税人的工商企业，属于本次可转登记为小规模纳税人的范围。当然，如果要进行转登记，还要看应税销售额的情况，也就是说还要看你们公司在申请转登记前连续12个月的应税销售额是否超过了500万，如果未超过500万，就可以按规定的程序申请转登记为小规模纳税人。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201806/t20180604_440355.htm
转登记纳税人如何开具发票？,问：转登记纳税人如何开具发票？,2018-05-08,答：转登记纳税人在发票开具方面，也有一些特殊情况需要处理，18号公告都有相应的规定：首先，转登记纳税人自转登记日的下期起，发生增值税应税销售行为，应当按照征收率开具增值税发票。其次，为了解决纳税人开具专用发票方面的实际需要，给纳税人提供更多便利，对于在一般纳税人期间已经领用税控装置并进行了票种核定的转登记纳税人，在转登记后可以继续自行开具专用发票，不受税务总局目前已经推行的小规模纳税人自开专用发票试点行业的限制。再次，转登记纳税人在一般纳税人期间发生的增值税应税销售行为，需要开具红字发票、换开发票、补开发票的，一律按照原来适用的税率或者征收率开具。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201805/t20180508_435900.htm
转登记纳税人是否永远属于小规模纳税人？,问：转登记纳税人是否永远属于小规模纳税人？,2018-05-08,答：此次在统一小规模纳税人标准的同时，允许已经按较低标准登记的一般纳税人转登记为小规模纳税人，是给予纳税人充分的选择权，纳税人可以根据自身的实际情况，自行选择适宜的计税方式缴纳增值税。但是，这并不意味着此类纳税人在转登记后永远属于小规模纳税人。按照《增值税暂行条例》及其实施细则的相关规定，转登记纳税人今后如果年应税销售额超过财政部和税务总局规定的小规模纳税人标准，就应当登记为一般纳税人，而且，转登记纳税人按规定再次登记为一般纳税人后，也不能再转登记为小规模纳税人。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201805/t20180508_435901.htm
纳税人什么时候可以转登记？,问：纳税人什么时候可以转登记？,2018-05-08,答：符合转登记条件的纳税人，是否由一般纳税人转登记为小规模纳税人，是由纳税人自主选择的，转登记的程序也是由纳税人发起的。需要注意，此项政策的执行时间是2018年5月1日，停止时间是2018年12月31日。也就是说，符合条件的一般纳税人如果需要转登记为小规模纳税人，在2018年5月1日到12月31日，这8个月的期间里，都可以到主管税务机关办理转登记手续。换言之，5月1日前和12月31日后，不可以办理转登记手续。,http://old.nb-n-tax.gov.cn/bsfw/12366lx/rdwt/201805/t20180508_435899.htm
