title,desc,content,url
关于契税的征税政策,问：（一）对个人购买家庭唯一住房（家庭成员范围包括购房人、配偶以及未成年子女，下同），面积为90平方米及以下的，减按1％的税率征收契税；面积为90平方米以上的，减按1.5％的税率征收契税。 　　（二）对个人购买家庭第二套改善性住房，面积为90平方米及以下的，减按1％的税率征收契税；面积为90平方米以上的，减按2％的税率征收契税。 　　家庭第二套改善性住房是指已拥有一套住房的家庭，购买的家庭第二套住房。 陕西执行上面的契税政策吗？,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：      按照《财政部 国家税务总局 住房城乡建设部关于调整房地产交易环节契税 营业税优惠政策的通知》（财税〔2016〕23号）文件第一条契税政策规定执行：（一）对个人购买家庭唯一住房（家庭成员范围包括购房人、配偶以及未成年子女，下同），面积为90平方米及以下的，减按1%的税率征收契税；面积为90平方米以上的，减按1.5%的税率征收契税。（二）对个人购买家庭第二套改善性住房，面积为90平方米及以下的，减按1%的税率征收契税；面积为90平方米以上的，减按2%的税率征收契税。 家庭第二套改善性住房是指已拥有一套住房的家庭，购买的家庭第二套住房。      感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关进行咨询。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=LU6HN76CD6HQYU7MTGCXD5X23CWBEKRM
房租发票能否开具专票,问：房屋租赁发票什么情况可以开具专票，什么情况不能开具专票,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：      根据《国家税务总局关于营业税改征增值税委托地税局代征税款和代开增值税发票的通知》（税总函〔2016〕145号）第四条发票开具的规定，增值税小规模纳税人销售其取得的不动产以及其他个人出租不动产，购买方或承租方不属于其他个人的，纳税人缴纳增值税后可以向地税局申请代开增值税专用发票。不能自开增值税普通发票的小规模纳税人销售其取得的不动产，以及其他个人出租不动产，可以向地税局申请代开增值税普通发票。      根据《国家税务总局关于全面推开营业税改征增值税试点有关税收征收管理事项的公告》（国家税务总局公告2016年第23号）第六条其他纳税事项中第（四）项规定，其他个人采取预收款形式出租不动产，取得的预收租金收入，可在预收款对应的租赁期内平均分摊，分摊后的月租金收入不超过3万元的，可享受小微企业免征增值税优惠政策。根据《国家税务总局关于营改增试点若干征管问题的公告》（国家税务总局公告 2016年第53号）第二条规定，其他个人采取一次性收取租金的形式出租不动产，取得的租金收入可在租金对应的租赁期内平均分摊，分摊后的月租金收入不超过3万元的，可享受小微企业免征增值税优惠政策。以上两种情况享受增值税免征的，也不得开具增值税专用发票。      感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关进行咨询。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=K6DDTN15LAEBEEOUTINDM64G3SLV1GI9
关于自建固定资产能否按照财税〔2018〕54号）规定执行,问：按照《关于设备 器具扣除有关企业所得税政策的通知》（财税〔2018〕54号）规定，业在2018年1月1日至2020年12月31日期间新购进的设备、器具，单位价值不超过500万元的，允许一次性计入当期成本费用在计算应纳税所得额时扣除。 请问，企业自行建造的固定资产能否按照该文件执行，如果可以，由于资产建造时间存在跨度，对2018年前已开始建造、2018年1月1日后竣工结算的固定资产，如何扣除。,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：      根据《财政部 税务总局关于设备 器具扣除有关企业所得税政策的通知》财税〔2018〕54号 文件第二条的规定，本通知所称设备、器具，是指除房屋、建筑物以外的固定资产。               因此，您企业自行建造的固定资产如属于上述文件中规定的情形，是不能进行扣除。      感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关进行咨询。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=UTI2EU2JNZE8CH13HT9MN06D8FFR4NF
关于自建固定资产能否按照》（财税〔2018〕54号）规定超过500万一次进入当期费用,问：按照《关于设备 器具扣除有关企业所得税政策的通知》（财税〔2018〕54号）规定，业在2018年1月1日至2020年12月31日期间新购进的设备、器具，单位价值不超过500万元的，允许一次性计入当期成本费用在计算应纳税所得额时扣除。 请问，企业自行建造的固定资产能否按照该文件执行，如果可以，由于资产建造时间存在跨度，对2018年前已开始建造、2018年1月1日后竣工结算的固定资产，如何扣除。,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：      根据《财政部 税务总局关于设备 器具扣除有关企业所得税政策的通知》财税〔2018〕54号 文件第二条的规定，本通知所称设备、器具，是指除房屋、建筑物以外的固定资产。               因此，您企业自行建造的固定资产如属于上述文件中规定的情形，是不能进行扣除。      感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关进行咨询。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=Q37VEA6ZOS2G5FENMKMJFW85UT77YC2E
注销公司需要的表格在哪可以下载,问：注销公司需要的表格在哪可以下载,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：      官方网站暂未有下载途径，建议在税务机关办税服务厅领取。      感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关进行咨询。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=9WHNRJAPD2CZF5HHTT0UG76B5T82QTQV
新设公司税务备案,问：你好！我想问下五证合一后新成立的公司要在拿到营业执照多久之内办理税务备案，没有在那个期间内备案会对公司有什么影响，会有处罚吗？ 税务备案需要准备什么资料，没有开立基本户之前可以进行税务备案吗，烦请告知，谢谢！,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：     实行“三证合一、一照一码”登记的纳税人办理涉税事宜时，在完成补充信息采集后，凭加载统一代码的营业执照可代替税务登记证使用，无时间限制。     需要携带的资料：(1)加载统一社会信用代码的营业执照。  　　               (2)经办人身份证明。      暂未有相关规定，未开立基本户不可以进行备案。     感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关咨询。   ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=MELRDXQIHOC30OO69XQ8XNSLSB6L6KC8
差旅费问题,问：你好：请问陕西省对出差补贴、津贴有何具体标准。,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：    根据《财政部 国家税务总局关于误餐补助范围确定问题的通知》(财税【1995】82号)规定：“根据《国家税务总局关于印发＜征收个人所得税若干问题的规定＞的通知》（国税发〔1994〕89）号规定不征税的误餐补助，是指按财政部门规定，个人因公在城区、郊区工作，不能在工作单位或返回就餐，确实需要在外就餐的，根据实际误餐顿数，按规定的标准领取的误餐费。 单位根据职工实际出差天数，按照国家财政部门规定的标准凭据报销的差旅费津贴不征收个人所得税。单位以误餐补助、差旅费津贴名义发给职工的补贴、津贴，应当并入当月工资薪金计征个人所得税。” 陕西省暂未有相关文件规定具体扣除标准。    感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关咨询。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=5B2FFIVIFR2PCOFBG1M8IWH7C0AP1FS3
单用途卡的问题,问：你好： 收到单用途预付卡发票是否可在所得税前扣除，如果不能税前扣除，那会计怎么账务处理，什么时候可以抵扣所得税。,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：      根据《中华人民共和国企业所得税法》（中华人民共和国主席令第63号）文件规定：“第八条 企业实际发生的与取得收入有关的、合理的支出，包括成本、费用、税金、损失和其他支出，准予在计算应纳税所得额时扣除。”  另根据《中华人民共和国企业所得税法实施条例》（中华人民共和国国务院令第512号）规定：“第二十七条 企业所得税法第八条所称有关的支出，是指与取得收入直接相关的支出。  　　企业所得税法第八条所称合理的支出，是指符合生产经营活动常规，应当计入当期损益或者有关资产成本的必要和正常的支出。      第二十九条 企业所得税法第八条所称成本，是指企业在生产经营活动中发生的销售成本、销货成本、业务支出以及其他耗费。  　　第三十条 企业所得税法第八条所称费用，是指企业在生产经营活动中发生的销售费用、管理费用和财务费用，已经计入成本的有关费用除外。”      感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关进行咨询。   ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=95ZNCYER222CRF90G0FSKD1VSN1CRT9Z
公司负责人、财务负责人微信公众号平台实名认证,问：非常感谢咱税局推出的这个平台，方便了纳税人。我想咨询一下，如果我们在微信公众平台实名认证后，我们是不是不用在到大厅认证了？这样我们会很感谢咱税局。,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：          经与技术部门确认，已微信实名认证成功的无需到办税服务厅再次进行认证。     感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关进行咨询。  ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=8KDCN688DOCJDJL72ACTJ80LD8GWGJE0
跨境到陕西从事经营活动怎么缴纳税款,问：我公司2018年2月跨省到陕西省有色榆林新材料有限责任公司从事了一施工项目，请问我应怎么办理纳税，有些什么样的缴税流程，申报缴税流程的先后事项有那些要求，怎么样的办税顺序流程才能让我省心快捷。谢谢回复。,答：您好！您提交的问题已收悉，现针对您所提供的信息回复如下：      根据《国家税务总局关于创新跨区域涉税事项报验管理制度的通知》（税总发〔2017〕103号）文件 第一条(二)款规定，纳税人跨区域经营前不再开具相关证明，改为填报《跨区域涉税事项报告表》。纳税人跨省(自治区、直辖市和计划单列市)临时从事生产经营活动的，不再开具《外出经营活动税收管理证明》，改向机构所在地的国税机关填报《跨区域涉税事项报告表》(附件1)。纳税人在省(自治区、直辖市和计划单列市)内跨县(市)临时从事生产经营活动的，是否实施跨区域涉税事项报验管理由各省(自治区、直辖市和计划单列市)税务机关自行确定。      二、跨区域涉税事项报告、报验及反馈      (一)《跨区域涉税事项报告表》填报  具备网上办税条件的，纳税人可通过网上办税系统，自主填报《跨区域涉税事项报告表》。  不具备网上办税条件的，纳税人向主管税务机关(办税服务厅)填报《跨区域涉税事项报告表》，并出示加载统一社会信用代码的营业执照副本(未换照的出示税务登记证副本)，或加盖纳税人公章的副本复印件(以下统称“税务登记证件”);已实行实名办税的纳税人只需填报《跨区域涉税事项报告表》。      (二)跨区域涉税事项报验  跨区域涉税事项由纳税人首次在经营地办理涉税事宜时，向经营地的国税机关报验。纳税人报验跨区域涉税事项时，应当出示税务登记证件。      感谢您的咨询！上述回复仅供参考，若您对此仍有疑问，请联系12366热线或您的主管税务机关咨询。    ,http://www.sn-n-tax.gov.cn/portal/jsp/portal/interaction/zxzx/zxzx_result.jsp?siteCategoryCode=003001007&styleName=blue&contentId=7FRGH5KJBQ1PATG8PMBT80P6S8VLEO56
